Date__(UT)__HR:MN, , ,R.A._(ICRF),DEC_(ICRF),delta,deldot,
 2022-Jul-11 00:00, , ,   350.10872,   -6.01514,  1.38403494851943,  0.4840768,
 2022-Jul-12 00:00, , ,   350.68932,   -5.75791,  1.38432157879632,  0.5084890,
 2022-Jul-13 00:00, , ,   351.26915,   -5.50020,  1.38462228765880,  0.5328293,
 2022-Jul-14 00:00, , ,   351.84821,   -5.24205,  1.38493703257555,  0.5570943,
 2022-Jul-15 00:00, , ,   352.42653,   -4.98349,  1.38526576906687,  0.5812806,
 2022-Jul-16 00:00, , ,   353.00411,   -4.72455,  1.38560845071804,  0.6053848,
 2022-Jul-17 00:00, , ,   353.58097,   -4.46526,  1.38596502919246,  0.6294037,
 2022-Jul-18 00:00, , ,   354.15712,   -4.20566,  1.38633545424506,  0.6533340,
 2022-Jul-19 00:00, , ,   354.73258,   -3.94577,  1.38671967373750,  0.6771723,
 2022-Jul-20 00:00, , ,   355.30735,   -3.68564,  1.38711763365522,  0.7009155,
 2022-Jul-21 00:00, , ,   355.88144,   -3.42529,  1.38752927812492,  0.7245604,
 2022-Jul-22 00:00, , ,   356.45488,   -3.16475,  1.38795454943129,  0.7481038,
 2022-Jul-23 00:00, , ,   357.02768,   -2.90406,  1.38839338803381,  0.7715425,
 2022-Jul-24 00:00, , ,   357.59984,   -2.64325,  1.38884573258481,  0.7948735,
 2022-Jul-25 00:00, , ,   358.17138,   -2.38234,  1.38931151994906,  0.8180936,
 2022-Jul-26 00:00, , ,   358.74232,   -2.12138,  1.38979068522368,  0.8411998,
 2022-Jul-27 00:00, , ,   359.31266,   -1.86039,  1.39028316175769,  0.8641891,
 2022-Jul-28 00:00, , ,   359.88243,   -1.59940,  1.39078888117163,  0.8870585,
 2022-Jul-29 00:00, , ,     0.45164,   -1.33845,  1.39130777337842,  0.9098051,
 2022-Jul-30 00:00, , ,     1.02029,   -1.07756,  1.39183976660493,  0.9324260,
 2022-Jul-31 00:00, , ,     1.58841,   -0.81677,  1.39238478741312,  0.9549183,
 2022-Aug-01 00:00, , ,     2.15600,   -0.55611,  1.39294276072061,  0.9772792,
 2022-Aug-02 00:00, , ,     2.72308,   -0.29560,  1.39351360982196,  0.9995059,
 2022-Aug-03 00:00, , ,     3.28966,   -0.03528,  1.39409725641174,  1.0215956,
 2022-Aug-04 00:00, , ,     3.85577,    0.22483,  1.39469362060830,  1.0435457,
 2022-Aug-05 00:00, , ,     4.42140,    0.48468,  1.39530262097678,  1.0653534,
 2022-Aug-06 00:00, , ,     4.98658,    0.74427,  1.39592417455123,  1.0870162,
 2022-Aug-07 00:00, , ,     5.55132,    1.00354,  1.39655819685754,  1.1085315,
 2022-Aug-08 00:00, , ,     6.11562,    1.26248,  1.39720460193754,  1.1298966,
 2022-Aug-09 00:00, , ,     6.67952,    1.52106,  1.39786330237358,  1.1511092,
 2022-Aug-10 00:00, , ,     7.24301,    1.77924,  1.39853420931262,  1.1721666,
 2022-Aug-11 00:00, , ,     7.80611,    2.03700,  1.39921723249030,  1.1930665,
 2022-Aug-12 00:00, , ,     8.36884,    2.29432,  1.39991228025580,  1.2138066,
 2022-Aug-13 00:00, , ,     8.93121,    2.55115,  1.40061925959768,  1.2343845,
 2022-Aug-14 00:00, , ,     9.49323,    2.80748,  1.40133807616941,  1.2547979,
 2022-Aug-15 00:00, , ,    10.05492,    3.06327,  1.40206863431384,  1.2750446,
 2022-Aug-16 00:00, , ,    10.61628,    3.31850,  1.40281083708766,  1.2951223,
 2022-Aug-17 00:00, , ,    11.17733,    3.57314,  1.40356458628733,  1.3150288,
 2022-Aug-18 00:00, , ,    11.73809,    3.82716,  1.40432978247612,  1.3347622,
 2022-Aug-19 00:00, , ,    12.29856,    4.08054,  1.40510632501078,  1.3543202,
 2022-Aug-20 00:00, , ,    12.85877,    4.33325,  1.40589411206705,  1.3737010,
 2022-Aug-21 00:00, , ,    13.41871,    4.58526,  1.40669304066512,  1.3929024,
 2022-Aug-22 00:00, , ,    13.97841,    4.83655,  1.40750300669616,  1.4119227,
 2022-Aug-23 00:00, , ,    14.53787,    5.08709,  1.40832390494928,  1.4307599,
 2022-Aug-24 00:00, , ,    15.09712,    5.33685,  1.40915562913790,  1.4494121,
 2022-Aug-25 00:00, , ,    15.65615,    5.58581,  1.40999807192564,  1.4678775,
 2022-Aug-26 00:00, , ,    16.21498,    5.83394,  1.41085112495283,  1.4861544,
 2022-Aug-27 00:00, , ,    16.77363,    6.08122,  1.41171467886406,  1.5042412,
 2022-Aug-28 00:00, , ,    17.33210,    6.32763,  1.41258862333562,  1.5221361,
 2022-Aug-29 00:00, , ,    17.89041,    6.57313,  1.41347284710167,  1.5398376,
 2022-Aug-30 00:00, , ,    18.44857,    6.81770,  1.41436723797969,  1.5573441,
 2022-Aug-31 00:00, , ,    19.00658,    7.06132,  1.41527168289669,  1.5746540,
 2022-Sep-01 00:00, , ,    19.56447,    7.30397,  1.41618606791658,  1.5917659,
 2022-Sep-02 00:00, , ,    20.12223,    7.54562,  1.41711027826774,  1.6086784,
 2022-Sep-03 00:00, , ,    20.67989,    7.78624,  1.41804419836931,  1.6253901,
 2022-Sep-04 00:00, , ,    21.23744,    8.02582,  1.41898771185695,  1.6418996,
 2022-Sep-05 00:00, , ,    21.79491,    8.26433,  1.41994070160914,  1.6582057,
 2022-Sep-06 00:00, , ,    22.35229,    8.50174,  1.42090304977408,  1.6743071,
 2022-Sep-07 00:00, , ,    22.90961,    8.73805,  1.42187463779597,  1.6902027,
