Date__(UT)__HR:MN,R.A._(ICRF),DEC_(ICRF),delta,deldot
 2022-May-11 00:00,350.73575,-5.7505,1.572312224,-9.6944573
 2022-May-12 00:00,351.43315,-5.46245,1.566719772,-9.6727589
 2022-May-13 00:00,352.1296,-5.17388,1.561139816,-9.6512115
 2022-May-14 00:00,352.82512,-4.88484,1.555572227,-9.6299636
 2022-May-15 00:00,353.51974,-4.59537,1.550016782,-9.6091872
 2022-May-16 00:00,354.21349,-4.30551,1.544473158,-9.5890616
 2022-May-17 00:00,354.9064,-4.01531,1.53894093,-9.5697482
 2022-May-18 00:00,355.5985,-3.72482,1.533419594,-9.5513611
 2022-May-19 00:00,356.28981,-3.43408,1.527908598,-9.5339475
 2022-May-20 00:00,356.98034,-3.14315,1.522407383,-9.517482
 2022-May-21 00:00,357.67012,-2.85207,1.516915423,-9.5018803
 2022-May-22 00:00,358.35914,-2.56089,1.511432254,-9.4870205
 2022-May-23 00:00,359.04742,-2.26967,1.505957487,-9.4727663
 2022-May-24 00:00,359.73497,-1.97847,1.50049081,-9.4589839
 2022-May-25 00:00,0.42179,-1.68734,1.495031988,-9.4455518
 2022-May-26 00:00,1.10789,-1.39633,1.489580849,-9.4323647
 2022-May-27 00:00,1.79328,-1.10549,1.484137277,-9.4193345
 2022-May-28 00:00,2.47797,-0.81489,1.478701204,-9.4063895
 2022-May-29 00:00,3.16195,-0.52457,1.473272597,-9.3934739
 2022-May-30 00:00,3.84526,-0.23459,1.467851452,-9.3805467
 2022-May-31 00:00,4.52788,0.05501,1.462437784,-9.3675816
 2022-Jun-01 00:00,5.20984,0.34417,1.457031619,-9.3545655
 2022-Jun-02 00:00,5.89115,0.63285,1.451632987,-9.3414977
 2022-Jun-03 00:00,6.57183,0.92099,1.446241916,-9.3283873
 2022-Jun-04 00:00,7.25188,1.20855,1.440858425,-9.3152524
 2022-Jun-05 00:00,7.93132,1.49548,1.435482523,-9.3021182
 2022-Jun-06 00:00,8.61017,1.78174,1.430114199,-9.2890169
 2022-Jun-07 00:00,9.28845,2.06728,1.424753423,-9.2759898
 2022-Jun-08 00:00,9.96618,2.35207,1.419400137,-9.2630905
 2022-Jun-09 00:00,10.64337,2.63606,1.414054248,-9.250391
 2022-Jun-10 00:00,11.32004,2.9192,1.408715614,-9.2379883
 2022-Jun-11 00:00,11.99623,3.20147,1.403384027,-9.226011
 2022-Jun-12 00:00,12.67194,3.48281,1.398059198,-9.2146203
 2022-Jun-13 00:00,13.34721,3.7632,1.392740735,-9.2040015
 2022-Jun-14 00:00,14.02205,4.0426,1.387428136,-9.1943427
 2022-Jun-15 00:00,14.69647,4.32097,1.382120799,-9.1858029
 2022-Jun-16 00:00,15.37051,4.59827,1.376818047,-9.1784799
 2022-Jun-17 00:00,16.04415,4.87446,1.371519167,-9.1723918
 2022-Jun-18 00:00,16.7174,5.14949,1.36622346,-9.1674797
 2022-Jun-19 00:00,17.39027,5.42332,1.360930278,-9.1636289
 2022-Jun-20 00:00,18.06274,5.6959,1.355639048,-9.1606968
 2022-Jun-21 00:00,18.7348,5.96718,1.350349282,-9.1585376
 2022-Jun-22 00:00,19.40646,6.23712,1.345060574,-9.1570172
 2022-Jun-23 00:00,20.07768,6.50567,1.339772588,-9.1560196
 2022-Jun-24 00:00,20.74847,6.77278,1.334485052,-9.1554473
 2022-Jun-25 00:00,21.41881,7.03841,1.329197745,-9.1552189
