Date__(UT)__HR:MN, , ,R.A._(ICRF),DEC_(ICRF),delta,deldot,
 2022-Apr-15 00:00, , ,   202.88587,   -9.56902,  1.00304602783470,  0.4835413,
 2022-Apr-16 00:00, , ,   203.81043,   -9.92641,  1.00332548100023,  0.4841990,
 2022-Apr-17 00:00, , ,   204.73647,  -10.28105,  1.00360533054808,  0.4848917,
 2022-Apr-18 00:00, , ,   205.66407,  -10.63286,  1.00388555527474,  0.4854714,
 2022-Apr-19 00:00, , ,   206.59332,  -10.98176,  1.00416604217225,  0.4857713,
 2022-Apr-20 00:00, , ,   207.52428,  -11.32765,  1.00444658153970,  0.4856272,
 2022-Apr-21 00:00, , ,   208.45703,  -11.67047,  1.00472687505465,  0.4848998,
 2022-Apr-22 00:00, , ,   209.39164,  -12.01011,  1.00500655516038,  0.4834905,
 2022-Apr-23 00:00, , ,   210.32816,  -12.34650,  1.00528521105560,  0.4813485,
 2022-Apr-24 00:00, , ,   211.26666,  -12.67954,  1.00556241583652,  0.4784679,
 2022-Apr-25 00:00, , ,   212.20718,  -13.00914,  1.00583775070572,  0.4748812,
 2022-Apr-26 00:00, , ,   213.14976,  -13.33521,  1.00611082430603,  0.4706495,
 2022-Apr-27 00:00, , ,   214.09444,  -13.65765,  1.00638128694116,  0.4658545,
 2022-Apr-28 00:00, , ,   215.04124,  -13.97637,  1.00664884024394,  0.4605912,
 2022-Apr-29 00:00, , ,   215.99020,  -14.29127,  1.00691324293453,  0.4549614,
 2022-Apr-30 00:00, , ,   216.94134,  -14.60225,  1.00717431310977,  0.4490680,
 2022-May-01 00:00, , ,   217.89468,  -14.90922,  1.00743192738020,  0.4430098,
 2022-May-02 00:00, , ,   218.85024,  -15.21208,  1.00768601726894,  0.4368775,
 2022-May-03 00:00, , ,   219.80802,  -15.51074,  1.00793656354870,  0.4307508,
 2022-May-04 00:00, , ,   220.76806,  -15.80510,  1.00818358945382,  0.4246970,
 2022-May-05 00:00, , ,   221.73035,  -16.09508,  1.00842715380837,  0.4187722,
 2022-May-06 00:00, , ,   222.69492,  -16.38059,  1.00866734499603,  0.4130231,
 2022-May-07 00:00, , ,   223.66177,  -16.66153,  1.00890427639399,  0.4074901,
 2022-May-08 00:00, , ,   224.63090,  -16.93782,  1.00913808347903,  0.4022098,
 2022-May-09 00:00, , ,   225.60233,  -17.20937,  1.00936892235373,  0.3972172,
 2022-May-10 00:00, , ,   226.57607,  -17.47610,  1.00959696895624,  0.3925458,
 2022-May-11 00:00, , ,   227.55211,  -17.73793,  1.00982241770322,  0.3882254,
 2022-May-12 00:00, , ,   228.53047,  -17.99478,  1.01004547779902,  0.3842762,
 2022-May-13 00:00, , ,   229.51114,  -18.24657,  1.01026636507386,  0.3806990,
 2022-May-14 00:00, , ,   230.49414,  -18.49323,  1.01048528734638,  0.3774631,
 2022-May-15 00:00, , ,   231.47946,  -18.73467,  1.01070242247720,  0.3744937,
 2022-May-16 00:00, , ,   232.46713,  -18.97084,  1.01091789086309,  0.3716664,
 2022-May-17 00:00, , ,   233.45714,  -19.20167,  1.01113172764316,  0.3688127,
 2022-May-18 00:00, , ,   234.44950,  -19.42708,  1.01134386253520,  0.3657405,
 2022-May-19 00:00, , ,   235.44421,  -19.64700,  1.01155411460264,  0.3622639,
 2022-May-20 00:00, , ,   236.44128,  -19.86138,  1.01176220460496,  0.3582324,
 2022-May-21 00:00, , ,   237.44068,  -20.07014,  1.01196778124948,  0.3535489,
 2022-May-22 00:00, , ,   238.44241,  -20.27321,  1.01217045349688,  0.3481723,
 2022-May-23 00:00, , ,   239.44642,  -20.47053,  1.01236982109337,  0.3421096,
 2022-May-24 00:00, , ,   240.45268,  -20.66202,  1.01256549857450,  0.3354029,
 2022-May-25 00:00, , ,   241.46115,  -20.84762,  1.01275713156512,  0.3281158,
 2022-May-26 00:00, , ,   242.47178,  -21.02726,  1.01294440654176,  0.3203248,
 2022-May-27 00:00, , ,   243.48451,  -21.20087,  1.01312705601737,  0.3121121,
 2022-May-28 00:00, , ,   244.49928,  -21.36838,  1.01330486087812,  0.3035624,
 2022-May-29 00:00, , ,   245.51602,  -21.52973,  1.01347765098666,  0.2947604,
 2022-May-30 00:00, , ,   246.53466,  -21.68487,  1.01364530459689,  0.2857887,
 2022-May-31 00:00, , ,   247.55513,  -21.83372,  1.01380774678931,  0.2767265,
 2022-Jun-01 00:00, , ,   248.57734,  -21.97624,  1.01396494705222,  0.2676482,
 2022-Jun-02 00:00, , ,   249.60123,  -22.11237,  1.01411691622529,  0.2586226,
 2022-Jun-03 00:00, , ,   250.62671,  -22.24206,  1.01426370317152,  0.2497126,
 2022-Jun-04 00:00, , ,   251.65370,  -22.36526,  1.01440539164357,  0.2409763,
 2022-Jun-05 00:00, , ,   252.68210,  -22.48192,  1.01454209778967,  0.2324681,
 2022-Jun-06 00:00, , ,   253.71184,  -22.59201,  1.01467396857407,  0.2242405,
 2022-Jun-07 00:00, , ,   254.74283,  -22.69548,  1.01480118106120,  0.2163454,
 2022-Jun-08 00:00, , ,   255.77498,  -22.79230,  1.01492394203190,  0.2088336,
 2022-Jun-09 00:00, , ,   256.80820,  -22.88244,  1.01504248676828,  0.2017522,
 2022-Jun-10 00:00, , ,   257.84241,  -22.96586,  1.01515707511697,  0.1951376,
 2022-Jun-11 00:00, , ,   258.87752,  -23.04253,  1.01526798233288,  0.1890045,
 2022-Jun-12 00:00, , ,   259.91346,  -23.11244,  1.01537548221352,  0.1833307,
 2022-Jun-13 00:00, , ,   260.95015,  -23.17557,  1.01547982141012,  0.1780422,
 2022-Jun-14 00:00, , ,   261.98751,  -23.23189,  1.01558118708527,  0.1730068,
 2022-Jun-15 00:00, , ,   263.02547,  -23.28139,  1.01567967459446,  0.1680418,
 2022-Jun-16 00:00, , ,   264.06396,  -23.32406,  1.01577526502334,  0.1629397,
 2022-Jun-17 00:00, , ,   265.10292,  -23.35988,  1.01586782102784,  0.1575039,
 2022-Jun-18 00:00, , ,   266.14227,  -23.38885,  1.01595710295512,  0.1515810,
 2022-Jun-19 00:00, , ,   267.18192,  -23.41096,  1.01604279940921,  0.1450772,
 2022-Jun-20 00:00, , ,   268.22179,  -23.42619,  1.01612456228674,  0.1379579,
 2022-Jun-21 00:00, , ,   269.26179,  -23.43455,  1.01620203757045,  0.1302346,
 2022-Jun-22 00:00, , ,   270.30181,  -23.43602,  1.01627488752784,  0.1219495,
 2022-Jun-23 00:00, , ,   271.34175,  -23.43061,  1.01634280413034,  0.1131615,
 2022-Jun-24 00:00, , ,   272.38151,  -23.41832,  1.01640551580273,  0.1039366,
 2022-Jun-25 00:00, , ,   273.42098,  -23.39915,  1.01646279011472,  0.0943439,
 2022-Jun-26 00:00, , ,   274.46005,  -23.37311,  1.01651443452929,  0.0844523,
 2022-Jun-27 00:00, , ,   275.49861,  -23.34022,  1.01656029652684,  0.0743314,
 2022-Jun-28 00:00, , ,   276.53655,  -23.30048,  1.01660026371071,  0.0640507,
 2022-Jun-29 00:00, , ,   277.57376,  -23.25391,  1.01663426401212,  0.0536803,
 2022-Jun-30 00:00, , ,   278.61014,  -23.20053,  1.01666226586559,  0.0432903,
 2022-Jul-01 00:00, , ,   279.64556,  -23.14038,  1.01668427818504,  0.0329507,
 2022-Jul-02 00:00, , ,   280.67994,  -23.07346,  1.01670035006813,  0.0227305,
 2022-Jul-03 00:00, , ,   281.71316,  -22.99981,  1.01671057030799,  0.0126982,
 2022-Jul-04 00:00, , ,   282.74512,  -22.91947,  1.01671506690378,  0.0029213,
 2022-Jul-05 00:00, , ,   283.77573,  -22.83247,  1.01671400675184, -0.0065331,
 2022-Jul-06 00:00, , ,   284.80490,  -22.73885,  1.01670759550013, -0.0155980,
 2022-Jul-07 00:00, , ,   285.83253,  -22.63865,  1.01669607712174, -0.0242080,
